File Name,School Name,City,Country,Address,Course Name,Lessons Per Week,Description,Requirements,Duration,Price,Currency,Accommodations,Additional Fees,Terms
2025 ActiLingua_Agent_Manual_Vienna.pdf,Actilingua Academy,Vienna,AT,"Vienna, Austria",German Courses for Adults 16+,20,Courses available in Vienna and online.,,1 week,€300,EUR,"Type: Host Family, Price/week: €280, Description: With breakfast and dinner., Supplements: Summer Surcharge: €50 per week | Type: Residence, Price/week: €450, Description: Single or double room, self catering. | Type: On-campus, Price/week: Details available upon inquiry, Description: Full board in standard rooms (4-6 beds) or superior rooms (3-4 beds). | Type: Penthouse, Price/week: 400, Description: Deluxe single room in a penthouse with kitchen and terrace., Supplements: High-season surcharge: 84/week | Type: Apartment, Price/week: Unknown, Description: Modern 2-bedroom apartments offering a private environment and shared spaces, ideal for extended stays. | Type: The Social Hub, Price/week: Unknown, Description: Modern and vibrant student studios with amenities like a fitness room. | Type: Homestay, Price/week: €260, Description: Single room with half-board., Supplements: High-season surcharge: 84/week; High Season: €45/week | Type: Premium Partner B&B Hotel, Price/week: Unknown, Description: Partner hotel located near Vienna center, serviced regularly for comfort. | Type: Shared Apartment, Price/week: €300, Description: Single room, self-catering., Supplements: Single Bedroom: €60 per week; High Season: €50/week | Type: B&B Hotel, Price/week: 686, Description: Single room with breakfast included., Supplements: Single Room: 128 EUR/week; High-season surcharge: 84/week | Type: Summer School Residence Standard, Price/week: Included in course price, Description: Shared bedroom, full board for students aged 12–17. | Type: Actilingua Single Apartment, Price/week: 350, Description: Single room, private balcony with kitchen and WiFi., Supplements: High-season surcharge: 84/week | Type: Student Hostel, Price/week: 330, Description: Shared room in a hostel within close proximity., Supplements: High-season surcharge: 84/week",registration: ; textbooks: €45; Transfer: 56 EUR per way; Public Transport: €25 per week for students aged 15+; Medical Insurance: 28 EUR per week; Exams: 128 EUR for OSD Preparation; OSD Certificate Exam: €128; Refundable Key Deposit for Home Stay: 100 €; Refundable Key Deposit for Penthouse or Apartment: 400 €; Registration: €85; Material Fee: €20,"cancellation: Consult official website for cancellation policies; payment: Full payment before start date.; additional_details: Includes evening activities, sports programs, and Vienna highlights excursions.; liability: No liability is assumed for accidents or illnesses during the course.; data_protection: Compliant with GDPR."
2025 ActiLingua_Agent_Manual_Vienna.pdf,Actilingua Academy,Vienna,AT,"Vienna, Austria",German Courses for Adults 16+,20,Courses available in Vienna and online.,,4 weeks,€1100,EUR,"Type: Host Family, Price/week: €280, Description: With breakfast and dinner., Supplements: Summer Surcharge: €50 per week | Type: Residence, Price/week: €450, Description: Single or double room, self catering. | Type: On-campus, Price/week: Details available upon inquiry, Description: Full board in standard rooms (4-6 beds) or superior rooms (3-4 beds). | Type: Penthouse, Price/week: 400, Description: Deluxe single room in a penthouse with kitchen and terrace., Supplements: High-season surcharge: 84/week | Type: Apartment, Price/week: Unknown, Description: Modern 2-bedroom apartments offering a private environment and shared spaces, ideal for extended stays. | Type: The Social Hub, Price/week: Unknown, Description: Modern and vibrant student studios with amenities like a fitness room. | Type: Homestay, Price/week: €260, Description: Single room with half-board., Supplements: High-season surcharge: 84/week; High Season: €45/week | Type: Premium Partner B&B Hotel, Price/week: Unknown, Description: Partner hotel located near Vienna center, serviced regularly for comfort. | Type: Shared Apartment, Price/week: €300, Description: Single room, self-catering., Supplements: Single Bedroom: €60 per week; High Season: €50/week | Type: B&B Hotel, Price/week: 686, Description: Single room with breakfast included., Supplements: Single Room: 128 EUR/week; High-season surcharge: 84/week | Type: Summer School Residence Standard, Price/week: Included in course price, Description: Shared bedroom, full board for students aged 12–17. | Type: Actilingua Single Apartment, Price/week: 350, Description: Single room, private balcony with kitchen and WiFi., Supplements: High-season surcharge: 84/week | Type: Student Hostel, Price/week: 330, Description: Shared room in a hostel within close proximity., Supplements: High-season surcharge: 84/week",registration: ; textbooks: €45; Transfer: 56 EUR per way; Public Transport: €25 per week for students aged 15+; Medical Insurance: 28 EUR per week; Exams: 128 EUR for OSD Preparation; OSD Certificate Exam: €128; Refundable Key Deposit for Home Stay: 100 €; Refundable Key Deposit for Penthouse or Apartment: 400 €; Registration: €85; Material Fee: €20,"cancellation: Consult official website for cancellation policies; payment: Full payment before start date.; additional_details: Includes evening activities, sports programs, and Vienna highlights excursions.; liability: No liability is assumed for accidents or illnesses during the course.; data_protection: Compliant with GDPR."
2025 ActiLingua_Agent_Manual_Vienna.pdf,Actilingua Academy,Vienna,AT,"Vienna, Austria",Summer Courses for Ages 12-17,25,Summer courses in Vienna for young people.,,2 weeks,€1200,EUR,"Type: Host Family, Price/week: €280, Description: With breakfast and dinner., Supplements: Summer Surcharge: €50 per week | Type: Residence, Price/week: €450, Description: Single or double room, self catering. | Type: On-campus, Price/week: Details available upon inquiry, Description: Full board in standard rooms (4-6 beds) or superior rooms (3-4 beds). | Type: Penthouse, Price/week: 400, Description: Deluxe single room in a penthouse with kitchen and terrace., Supplements: High-season surcharge: 84/week | Type: Apartment, Price/week: Unknown, Description: Modern 2-bedroom apartments offering a private environment and shared spaces, ideal for extended stays. | Type: The Social Hub, Price/week: Unknown, Description: Modern and vibrant student studios with amenities like a fitness room. | Type: Homestay, Price/week: €260, Description: Single room with half-board., Supplements: High-season surcharge: 84/week; High Season: €45/week | Type: Premium Partner B&B Hotel, Price/week: Unknown, Description: Partner hotel located near Vienna center, serviced regularly for comfort. | Type: Shared Apartment, Price/week: €300, Description: Single room, self-catering., Supplements: Single Bedroom: €60 per week; High Season: €50/week | Type: B&B Hotel, Price/week: 686, Description: Single room with breakfast included., Supplements: Single Room: 128 EUR/week; High-season surcharge: 84/week | Type: Summer School Residence Standard, Price/week: Included in course price, Description: Shared bedroom, full board for students aged 12–17. | Type: Actilingua Single Apartment, Price/week: 350, Description: Single room, private balcony with kitchen and WiFi., Supplements: High-season surcharge: 84/week | Type: Student Hostel, Price/week: 330, Description: Shared room in a hostel within close proximity., Supplements: High-season surcharge: 84/week",registration: ; textbooks: €45; Transfer: 56 EUR per way; Public Transport: €25 per week for students aged 15+; Medical Insurance: 28 EUR per week; Exams: 128 EUR for OSD Preparation; OSD Certificate Exam: €128; Refundable Key Deposit for Home Stay: 100 €; Refundable Key Deposit for Penthouse or Apartment: 400 €; Registration: €85; Material Fee: €20,"cancellation: Consult official website for cancellation policies; payment: Full payment before start date.; additional_details: Includes evening activities, sports programs, and Vienna highlights excursions.; liability: No liability is assumed for accidents or illnesses during the course.; data_protection: Compliant with GDPR."
2025 ActiLingua_Agent_Manual_Vienna.pdf,Actilingua Academy,Vienna,AT,"Vienna, Austria",Summer School 12–17 Years,20,Flexible learning options with programs lasting 1 to 5 weeks.,,1 week,Included in tuition fees,EUR,"Type: Host Family, Price/week: €280, Description: With breakfast and dinner., Supplements: Summer Surcharge: €50 per week | Type: Residence, Price/week: €450, Description: Single or double room, self catering. | Type: On-campus, Price/week: Details available upon inquiry, Description: Full board in standard rooms (4-6 beds) or superior rooms (3-4 beds). | Type: Penthouse, Price/week: 400, Description: Deluxe single room in a penthouse with kitchen and terrace., Supplements: High-season surcharge: 84/week | Type: Apartment, Price/week: Unknown, Description: Modern 2-bedroom apartments offering a private environment and shared spaces, ideal for extended stays. | Type: The Social Hub, Price/week: Unknown, Description: Modern and vibrant student studios with amenities like a fitness room. | Type: Homestay, Price/week: €260, Description: Single room with half-board., Supplements: High-season surcharge: 84/week; High Season: €45/week | Type: Premium Partner B&B Hotel, Price/week: Unknown, Description: Partner hotel located near Vienna center, serviced regularly for comfort. | Type: Shared Apartment, Price/week: €300, Description: Single room, self-catering., Supplements: Single Bedroom: €60 per week; High Season: €50/week | Type: B&B Hotel, Price/week: 686, Description: Single room with breakfast included., Supplements: Single Room: 128 EUR/week; High-season surcharge: 84/week | Type: Summer School Residence Standard, Price/week: Included in course price, Description: Shared bedroom, full board for students aged 12–17. | Type: Actilingua Single Apartment, Price/week: 350, Description: Single room, private balcony with kitchen and WiFi., Supplements: High-season surcharge: 84/week | Type: Student Hostel, Price/week: 330, Description: Shared room in a hostel within close proximity., Supplements: High-season surcharge: 84/week",registration: ; textbooks: €45; Transfer: 56 EUR per way; Public Transport: €25 per week for students aged 15+; Medical Insurance: 28 EUR per week; Exams: 128 EUR for OSD Preparation; OSD Certificate Exam: €128; Refundable Key Deposit for Home Stay: 100 €; Refundable Key Deposit for Penthouse or Apartment: 400 €; Registration: €85; Material Fee: €20,"cancellation: Consult official website for cancellation policies; payment: Full payment before start date.; additional_details: Includes evening activities, sports programs, and Vienna highlights excursions.; liability: No liability is assumed for accidents or illnesses during the course.; data_protection: Compliant with GDPR."
2025 ActiLingua_Agent_Manual_Vienna.pdf,Actilingua Academy,Vienna,AT,"Vienna, Austria",Summer School 12–17 Years,20,Flexible learning options with programs lasting 1 to 5 weeks.,,5 weeks,Included in tuition fees,EUR,"Type: Host Family, Price/week: €280, Description: With breakfast and dinner., Supplements: Summer Surcharge: €50 per week | Type: Residence, Price/week: €450, Description: Single or double room, self catering. | Type: On-campus, Price/week: Details available upon inquiry, Description: Full board in standard rooms (4-6 beds) or superior rooms (3-4 beds). | Type: Penthouse, Price/week: 400, Description: Deluxe single room in a penthouse with kitchen and terrace., Supplements: High-season surcharge: 84/week | Type: Apartment, Price/week: Unknown, Description: Modern 2-bedroom apartments offering a private environment and shared spaces, ideal for extended stays. | Type: The Social Hub, Price/week: Unknown, Description: Modern and vibrant student studios with amenities like a fitness room. | Type: Homestay, Price/week: €260, Description: Single room with half-board., Supplements: High-season surcharge: 84/week; High Season: €45/week | Type: Premium Partner B&B Hotel, Price/week: Unknown, Description: Partner hotel located near Vienna center, serviced regularly for comfort. | Type: Shared Apartment, Price/week: €300, Description: Single room, self-catering., Supplements: Single Bedroom: €60 per week; High Season: €50/week | Type: B&B Hotel, Price/week: 686, Description: Single room with breakfast included., Supplements: Single Room: 128 EUR/week; High-season surcharge: 84/week | Type: Summer School Residence Standard, Price/week: Included in course price, Description: Shared bedroom, full board for students aged 12–17. | Type: Actilingua Single Apartment, Price/week: 350, Description: Single room, private balcony with kitchen and WiFi., Supplements: High-season surcharge: 84/week | Type: Student Hostel, Price/week: 330, Description: Shared room in a hostel within close proximity., Supplements: High-season surcharge: 84/week",registration: ; textbooks: €45; Transfer: 56 EUR per way; Public Transport: €25 per week for students aged 15+; Medical Insurance: 28 EUR per week; Exams: 128 EUR for OSD Preparation; OSD Certificate Exam: €128; Refundable Key Deposit for Home Stay: 100 €; Refundable Key Deposit for Penthouse or Apartment: 400 €; Registration: €85; Material Fee: €20,"cancellation: Consult official website for cancellation policies; payment: Full payment before start date.; additional_details: Includes evening activities, sports programs, and Vienna highlights excursions.; liability: No liability is assumed for accidents or illnesses during the course.; data_protection: Compliant with GDPR."
2025 ActiLingua_Agent_Manual_Vienna.pdf,Actilingua Academy,Vienna,AT,"Vienna, Austria",Holiday Course 16–19 Years,25,Courses held in park and sports facilities next door to ActiLingua Academy.,,2 weeks,Details available upon inquiry,EUR,"Type: Host Family, Price/week: €280, Description: With breakfast and dinner., Supplements: Summer Surcharge: €50 per week | Type: Residence, Price/week: €450, Description: Single or double room, self catering. | Type: On-campus, Price/week: Details available upon inquiry, Description: Full board in standard rooms (4-6 beds) or superior rooms (3-4 beds). | Type: Penthouse, Price/week: 400, Description: Deluxe single room in a penthouse with kitchen and terrace., Supplements: High-season surcharge: 84/week | Type: Apartment, Price/week: Unknown, Description: Modern 2-bedroom apartments offering a private environment and shared spaces, ideal for extended stays. | Type: The Social Hub, Price/week: Unknown, Description: Modern and vibrant student studios with amenities like a fitness room. | Type: Homestay, Price/week: €260, Description: Single room with half-board., Supplements: High-season surcharge: 84/week; High Season: €45/week | Type: Premium Partner B&B Hotel, Price/week: Unknown, Description: Partner hotel located near Vienna center, serviced regularly for comfort. | Type: Shared Apartment, Price/week: €300, Description: Single room, self-catering., Supplements: Single Bedroom: €60 per week; High Season: €50/week | Type: B&B Hotel, Price/week: 686, Description: Single room with breakfast included., Supplements: Single Room: 128 EUR/week; High-season surcharge: 84/week | Type: Summer School Residence Standard, Price/week: Included in course price, Description: Shared bedroom, full board for students aged 12–17. | Type: Actilingua Single Apartment, Price/week: 350, Description: Single room, private balcony with kitchen and WiFi., Supplements: High-season surcharge: 84/week | Type: Student Hostel, Price/week: 330, Description: Shared room in a hostel within close proximity., Supplements: High-season surcharge: 84/week",registration: ; textbooks: €45; Transfer: 56 EUR per way; Public Transport: €25 per week for students aged 15+; Medical Insurance: 28 EUR per week; Exams: 128 EUR for OSD Preparation; OSD Certificate Exam: €128; Refundable Key Deposit for Home Stay: 100 €; Refundable Key Deposit for Penthouse or Apartment: 400 €; Registration: €85; Material Fee: €20,"cancellation: Consult official website for cancellation policies; payment: Full payment before start date.; additional_details: Includes evening activities, sports programs, and Vienna highlights excursions.; liability: No liability is assumed for accidents or illnesses during the course.; data_protection: Compliant with GDPR."
2025 ActiLingua_Agent_Manual_Vienna.pdf,Actilingua Academy,Vienna,AT,"Vienna, Austria",Holiday Course 16–19 Years,25,Courses held in park and sports facilities next door to ActiLingua Academy.,,6 weeks,Details available upon inquiry,EUR,"Type: Host Family, Price/week: €280, Description: With breakfast and dinner., Supplements: Summer Surcharge: €50 per week | Type: Residence, Price/week: €450, Description: Single or double room, self catering. | Type: On-campus, Price/week: Details available upon inquiry, Description: Full board in standard rooms (4-6 beds) or superior rooms (3-4 beds). | Type: Penthouse, Price/week: 400, Description: Deluxe single room in a penthouse with kitchen and terrace., Supplements: High-season surcharge: 84/week | Type: Apartment, Price/week: Unknown, Description: Modern 2-bedroom apartments offering a private environment and shared spaces, ideal for extended stays. | Type: The Social Hub, Price/week: Unknown, Description: Modern and vibrant student studios with amenities like a fitness room. | Type: Homestay, Price/week: €260, Description: Single room with half-board., Supplements: High-season surcharge: 84/week; High Season: €45/week | Type: Premium Partner B&B Hotel, Price/week: Unknown, Description: Partner hotel located near Vienna center, serviced regularly for comfort. | Type: Shared Apartment, Price/week: €300, Description: Single room, self-catering., Supplements: Single Bedroom: €60 per week; High Season: €50/week | Type: B&B Hotel, Price/week: 686, Description: Single room with breakfast included., Supplements: Single Room: 128 EUR/week; High-season surcharge: 84/week | Type: Summer School Residence Standard, Price/week: Included in course price, Description: Shared bedroom, full board for students aged 12–17. | Type: Actilingua Single Apartment, Price/week: 350, Description: Single room, private balcony with kitchen and WiFi., Supplements: High-season surcharge: 84/week | Type: Student Hostel, Price/week: 330, Description: Shared room in a hostel within close proximity., Supplements: High-season surcharge: 84/week",registration: ; textbooks: €45; Transfer: 56 EUR per way; Public Transport: €25 per week for students aged 15+; Medical Insurance: 28 EUR per week; Exams: 128 EUR for OSD Preparation; OSD Certificate Exam: €128; Refundable Key Deposit for Home Stay: 100 €; Refundable Key Deposit for Penthouse or Apartment: 400 €; Registration: €85; Material Fee: €20,"cancellation: Consult official website for cancellation policies; payment: Full payment before start date.; additional_details: Includes evening activities, sports programs, and Vienna highlights excursions.; liability: No liability is assumed for accidents or illnesses during the course.; data_protection: Compliant with GDPR."
2025 ActiLingua_Agent_Manual_Vienna.pdf,Actilingua Academy,Vienna,AT,"Vienna, Austria",German Language Course,20,Standard language course.,Minimum ages 16.,1 week,€198,EUR,"Type: Host Family, Price/week: €280, Description: With breakfast and dinner., Supplements: Summer Surcharge: €50 per week | Type: Residence, Price/week: €450, Description: Single or double room, self catering. | Type: On-campus, Price/week: Details available upon inquiry, Description: Full board in standard rooms (4-6 beds) or superior rooms (3-4 beds). | Type: Penthouse, Price/week: 400, Description: Deluxe single room in a penthouse with kitchen and terrace., Supplements: High-season surcharge: 84/week | Type: Apartment, Price/week: Unknown, Description: Modern 2-bedroom apartments offering a private environment and shared spaces, ideal for extended stays. | Type: The Social Hub, Price/week: Unknown, Description: Modern and vibrant student studios with amenities like a fitness room. | Type: Homestay, Price/week: €260, Description: Single room with half-board., Supplements: High-season surcharge: 84/week; High Season: €45/week | Type: Premium Partner B&B Hotel, Price/week: Unknown, Description: Partner hotel located near Vienna center, serviced regularly for comfort. | Type: Shared Apartment, Price/week: €300, Description: Single room, self-catering., Supplements: Single Bedroom: €60 per week; High Season: €50/week | Type: B&B Hotel, Price/week: 686, Description: Single room with breakfast included., Supplements: Single Room: 128 EUR/week; High-season surcharge: 84/week | Type: Summer School Residence Standard, Price/week: Included in course price, Description: Shared bedroom, full board for students aged 12–17. | Type: Actilingua Single Apartment, Price/week: 350, Description: Single room, private balcony with kitchen and WiFi., Supplements: High-season surcharge: 84/week | Type: Student Hostel, Price/week: 330, Description: Shared room in a hostel within close proximity., Supplements: High-season surcharge: 84/week",registration: ; textbooks: €45; Transfer: 56 EUR per way; Public Transport: €25 per week for students aged 15+; Medical Insurance: 28 EUR per week; Exams: 128 EUR for OSD Preparation; OSD Certificate Exam: €128; Refundable Key Deposit for Home Stay: 100 €; Refundable Key Deposit for Penthouse or Apartment: 400 €; Registration: €85; Material Fee: €20,"cancellation: Consult official website for cancellation policies; payment: Full payment before start date.; additional_details: Includes evening activities, sports programs, and Vienna highlights excursions.; liability: No liability is assumed for accidents or illnesses during the course.; data_protection: Compliant with GDPR."
2025 ActiLingua_Agent_Manual_Vienna.pdf,Actilingua Academy,Vienna,AT,"Vienna, Austria",Standard German,25,German language course for adults.,Minimum age: 16+,1-52 weeks,N/A,EUR,"Type: Host Family, Price/week: €280, Description: With breakfast and dinner., Supplements: Summer Surcharge: €50 per week | Type: Residence, Price/week: €450, Description: Single or double room, self catering. | Type: On-campus, Price/week: Details available upon inquiry, Description: Full board in standard rooms (4-6 beds) or superior rooms (3-4 beds). | Type: Penthouse, Price/week: 400, Description: Deluxe single room in a penthouse with kitchen and terrace., Supplements: High-season surcharge: 84/week | Type: Apartment, Price/week: Unknown, Description: Modern 2-bedroom apartments offering a private environment and shared spaces, ideal for extended stays. | Type: The Social Hub, Price/week: Unknown, Description: Modern and vibrant student studios with amenities like a fitness room. | Type: Homestay, Price/week: €260, Description: Single room with half-board., Supplements: High-season surcharge: 84/week; High Season: €45/week | Type: Premium Partner B&B Hotel, Price/week: Unknown, Description: Partner hotel located near Vienna center, serviced regularly for comfort. | Type: Shared Apartment, Price/week: €300, Description: Single room, self-catering., Supplements: Single Bedroom: €60 per week; High Season: €50/week | Type: B&B Hotel, Price/week: 686, Description: Single room with breakfast included., Supplements: Single Room: 128 EUR/week; High-season surcharge: 84/week | Type: Summer School Residence Standard, Price/week: Included in course price, Description: Shared bedroom, full board for students aged 12–17. | Type: Actilingua Single Apartment, Price/week: 350, Description: Single room, private balcony with kitchen and WiFi., Supplements: High-season surcharge: 84/week | Type: Student Hostel, Price/week: 330, Description: Shared room in a hostel within close proximity., Supplements: High-season surcharge: 84/week",registration: ; textbooks: €45; Transfer: 56 EUR per way; Public Transport: €25 per week for students aged 15+; Medical Insurance: 28 EUR per week; Exams: 128 EUR for OSD Preparation; OSD Certificate Exam: €128; Refundable Key Deposit for Home Stay: 100 €; Refundable Key Deposit for Penthouse or Apartment: 400 €; Registration: €85; Material Fee: €20,"cancellation: Consult official website for cancellation policies; payment: Full payment before start date.; additional_details: Includes evening activities, sports programs, and Vienna highlights excursions.; liability: No liability is assumed for accidents or illnesses during the course.; data_protection: Compliant with GDPR."
2025 ActiLingua_Agent_Manual_Vienna.pdf,Actilingua Academy,Vienna,AT,"Vienna, Austria",Standard German,25,German language course for adults.,Minimum age: 16+,1 week,€339,EUR,"Type: Host Family, Price/week: €280, Description: With breakfast and dinner., Supplements: Summer Surcharge: €50 per week | Type: Residence, Price/week: €450, Description: Single or double room, self catering. | Type: On-campus, Price/week: Details available upon inquiry, Description: Full board in standard rooms (4-6 beds) or superior rooms (3-4 beds). | Type: Penthouse, Price/week: 400, Description: Deluxe single room in a penthouse with kitchen and terrace., Supplements: High-season surcharge: 84/week | Type: Apartment, Price/week: Unknown, Description: Modern 2-bedroom apartments offering a private environment and shared spaces, ideal for extended stays. | Type: The Social Hub, Price/week: Unknown, Description: Modern and vibrant student studios with amenities like a fitness room. | Type: Homestay, Price/week: €260, Description: Single room with half-board., Supplements: High-season surcharge: 84/week; High Season: €45/week | Type: Premium Partner B&B Hotel, Price/week: Unknown, Description: Partner hotel located near Vienna center, serviced regularly for comfort. | Type: Shared Apartment, Price/week: €300, Description: Single room, self-catering., Supplements: Single Bedroom: €60 per week; High Season: €50/week | Type: B&B Hotel, Price/week: 686, Description: Single room with breakfast included., Supplements: Single Room: 128 EUR/week; High-season surcharge: 84/week | Type: Summer School Residence Standard, Price/week: Included in course price, Description: Shared bedroom, full board for students aged 12–17. | Type: Actilingua Single Apartment, Price/week: 350, Description: Single room, private balcony with kitchen and WiFi., Supplements: High-season surcharge: 84/week | Type: Student Hostel, Price/week: 330, Description: Shared room in a hostel within close proximity., Supplements: High-season surcharge: 84/week",registration: ; textbooks: €45; Transfer: 56 EUR per way; Public Transport: €25 per week for students aged 15+; Medical Insurance: 28 EUR per week; Exams: 128 EUR for OSD Preparation; OSD Certificate Exam: €128; Refundable Key Deposit for Home Stay: 100 €; Refundable Key Deposit for Penthouse or Apartment: 400 €; Registration: €85; Material Fee: €20,"cancellation: Consult official website for cancellation policies; payment: Full payment before start date.; additional_details: Includes evening activities, sports programs, and Vienna highlights excursions.; liability: No liability is assumed for accidents or illnesses during the course.; data_protection: Compliant with GDPR."
