File Name,School Name,City,Country,Address,Course Name,Lessons Per Week,Description,Requirements,Duration,Price,Currency,Accommodations,Additional Fees,Terms
Florence Junior Katalog.pdf,LinguaViva Florence School,Florence,IT,"Florence, Italy (exact address not provided)",Italian Tuition,20,20 group lessons per week focused on Italian language learning.,Targeted for students aged 14 to 17 years old.,2 weeks,"€2,100",EUR,"Type: Homestay, Price/week: €350, Description: Includes breakfast and dinner provided by host families and lunch provided by the school., Supplements: single_room_supplement: €50/week | Type: Host Family, Price/week: €280, Description: Includes half-board meal plan., Supplements: peak_season: €35 per week chance of supplement.","fee_inclusion: Language course, teaching material, activities program, weekend excursions, full board homestay accommodation, Florence airport or train station pickup.; registration_fee: €85; registration: €50",cancellation: Refunds available with a 2 weeks notice before start date.; cancellation_policy: Full refund for cancellations made 30 days prior to the course start date.; visa_policy: Visa invitation letter costs €55 if required.
Florence Junior Katalog.pdf,LinguaViva Florence School,Florence,IT,"Florence, Italy (exact address not provided)",Italian Tuition,20,20 group lessons per week focused on Italian language learning.,Targeted for students aged 14 to 17 years old.,4 weeks,"€4,100",EUR,"Type: Homestay, Price/week: €350, Description: Includes breakfast and dinner provided by host families and lunch provided by the school., Supplements: single_room_supplement: €50/week | Type: Host Family, Price/week: €280, Description: Includes half-board meal plan., Supplements: peak_season: €35 per week chance of supplement.","fee_inclusion: Language course, teaching material, activities program, weekend excursions, full board homestay accommodation, Florence airport or train station pickup.; registration_fee: €85; registration: €50",cancellation: Refunds available with a 2 weeks notice before start date.; cancellation_policy: Full refund for cancellations made 30 days prior to the course start date.; visa_policy: Visa invitation letter costs €55 if required.
Florence Junior Katalog.pdf,LinguaViva Florence School,Florence,IT,"Florence, Italy (exact address not provided)",The Italian Language Course,20,"The course focuses on practical aspects of Italian language and communication skills, improving all four skills: reading, writing, listening, and speaking.",None,1 week or more,See programme fee,EUR,"Type: Homestay, Price/week: €350, Description: Includes breakfast and dinner provided by host families and lunch provided by the school., Supplements: single_room_supplement: €50/week | Type: Host Family, Price/week: €280, Description: Includes half-board meal plan., Supplements: peak_season: €35 per week chance of supplement.","fee_inclusion: Language course, teaching material, activities program, weekend excursions, full board homestay accommodation, Florence airport or train station pickup.; registration_fee: €85; registration: €50",cancellation: Refunds available with a 2 weeks notice before start date.; cancellation_policy: Full refund for cancellations made 30 days prior to the course start date.; visa_policy: Visa invitation letter costs €55 if required.
Florence Junior Katalog.pdf,LinguaViva Florence School,Florence,IT,"Florence, Italy (exact address not provided)",Summer Programme in Florence,15,"The Summer Programme for Juniors in Florence includes cultural and leisure activities, such as art history visits, excursions to historic cities, seminars, and creative workshops.","Age group: Juniors, suitable for beginner to advanced levels.",2 weeks,€850,EUR,"Type: Homestay, Price/week: €350, Description: Includes breakfast and dinner provided by host families and lunch provided by the school., Supplements: single_room_supplement: €50/week | Type: Host Family, Price/week: €280, Description: Includes half-board meal plan., Supplements: peak_season: €35 per week chance of supplement.","fee_inclusion: Language course, teaching material, activities program, weekend excursions, full board homestay accommodation, Florence airport or train station pickup.; registration_fee: €85; registration: €50",cancellation: Refunds available with a 2 weeks notice before start date.; cancellation_policy: Full refund for cancellations made 30 days prior to the course start date.; visa_policy: Visa invitation letter costs €55 if required.
Florence Junior Katalog.pdf,LinguaViva Florence School,Florence,IT,"Florence, Italy (exact address not provided)",Italian Language Course,20,"Morning Italian language classes, complemented by cultural activities in the afternoon.",Open to all levels.,2 weeks,€500,EUR,"Type: Homestay, Price/week: €350, Description: Includes breakfast and dinner provided by host families and lunch provided by the school., Supplements: single_room_supplement: €50/week | Type: Host Family, Price/week: €280, Description: Includes half-board meal plan., Supplements: peak_season: €35 per week chance of supplement.","fee_inclusion: Language course, teaching material, activities program, weekend excursions, full board homestay accommodation, Florence airport or train station pickup.; registration_fee: €85; registration: €50",cancellation: Refunds available with a 2 weeks notice before start date.; cancellation_policy: Full refund for cancellations made 30 days prior to the course start date.; visa_policy: Visa invitation letter costs €55 if required.
gci_pricelist_2025 - Galway.pdf,Galway Cultural Institute,Dublin,IE,123 Language School Street,General English,20,"Morning group tuition, 20 lessons per week.",,1-11 weeks,€275,EUR,"Type: Homestay, Price/week: €200, Description: Single room, half board, inclusive of meals, Supplements: Summer: €35/week; special_diet: €35/week | Type: Shared Apartment, Price/week: €250, Description: Private room with kitchen access, utilities included",registration: €85; material_fee: €50,"cancellation_policy: 14 days notice required.; cancellation: 14 days notice required; manual_update_only: ; public_holidays_2025: 1st January, 3rd February, 17th March, 21st April, 5th May, 2nd June, 4th August, 27th October; christmas_holidays_2025: 22nd December 2025 - 2nd January 2026"
gci_pricelist_2025 - Galway.pdf,Galway Cultural Institute,Dublin,IE,123 Language School Street,General English,20,"Morning group tuition, 20 lessons per week.",,12-24 weeks,€255,EUR,"Type: Homestay, Price/week: €200, Description: Single room, half board, inclusive of meals, Supplements: Summer: €35/week; special_diet: €35/week | Type: Shared Apartment, Price/week: €250, Description: Private room with kitchen access, utilities included",registration: €85; material_fee: €50,"cancellation_policy: 14 days notice required.; cancellation: 14 days notice required; manual_update_only: ; public_holidays_2025: 1st January, 3rd February, 17th March, 21st April, 5th May, 2nd June, 4th August, 27th October; christmas_holidays_2025: 22nd December 2025 - 2nd January 2026"
gci_pricelist_2025 - Galway.pdf,Galway Cultural Institute,Dublin,IE,123 Language School Street,General English 30,30,"Morning group tuition, 30 lessons per week.",,1-11 weeks,€345,EUR,"Type: Homestay, Price/week: €200, Description: Single room, half board, inclusive of meals, Supplements: Summer: €35/week; special_diet: €35/week | Type: Shared Apartment, Price/week: €250, Description: Private room with kitchen access, utilities included",registration: €85; material_fee: €50,"cancellation_policy: 14 days notice required.; cancellation: 14 days notice required; manual_update_only: ; public_holidays_2025: 1st January, 3rd February, 17th March, 21st April, 5th May, 2nd June, 4th August, 27th October; christmas_holidays_2025: 22nd December 2025 - 2nd January 2026"
gci_pricelist_2025 - Galway.pdf,Galway Cultural Institute,Dublin,IE,123 Language School Street,General English 30,30,"Morning group tuition, 30 lessons per week.",,12-24 weeks,€325,EUR,"Type: Homestay, Price/week: €200, Description: Single room, half board, inclusive of meals, Supplements: Summer: €35/week; special_diet: €35/week | Type: Shared Apartment, Price/week: €250, Description: Private room with kitchen access, utilities included",registration: €85; material_fee: €50,"cancellation_policy: 14 days notice required.; cancellation: 14 days notice required; manual_update_only: ; public_holidays_2025: 1st January, 3rd February, 17th March, 21st April, 5th May, 2nd June, 4th August, 27th October; christmas_holidays_2025: 22nd December 2025 - 2nd January 2026"
gci_pricelist_2025 - Galway.pdf,Galway Cultural Institute,Dublin,IE,123 Language School Street,General English PM,20,"Afternoon group tuition, 20 lessons per week.",,1-25 weeks,€200,EUR,"Type: Homestay, Price/week: €200, Description: Single room, half board, inclusive of meals, Supplements: Summer: €35/week; special_diet: €35/week | Type: Shared Apartment, Price/week: €250, Description: Private room with kitchen access, utilities included",registration: €85; material_fee: €50,"cancellation_policy: 14 days notice required.; cancellation: 14 days notice required; manual_update_only: ; public_holidays_2025: 1st January, 3rd February, 17th March, 21st April, 5th May, 2nd June, 4th August, 27th October; christmas_holidays_2025: 22nd December 2025 - 2nd January 2026"
